
Record#  PRONAME                        DES                     QTY      PRICE
    409  ALESE HOUSSE 40X80             1259970                  12     493.56
    410  ALEZE HOUSSE 60X120            1259989                  12     771.12
    411  ALEZE PLATEAU 60X140           1567640                  12     586.08
    412  COMBI MOLLETON                 1385020                   1      94.41
    413  COMBI MOLLETON                 1385038                   1      94.41
    414  COMBI MOLLETON                 1385046                   2     188.82
    415  COMBI MOLLETON                 1385054                   3     283.23
    416  COMBI MOLLETON                 1385062                   3     297.93
    417  CARDIGAN MOLLETON              1385763                   2     198.62
    418  CARDIGAN MOLLETON              1385771                   4     397.24
    419  CARDIGAN MOLLETON              1385780                   4     416.80
    420  DORS BIEN                      1407678                   1      44.51
    421  DORS BIEN                      1407686                   1      44.51
    422  DORS BIEN                      1407694                   4     178.04
    423  DORS BIEN                      1407708                   4     197.64
    424  BRASSIERE TRICOT               1545663                   3     208.41
    425  BRASSIERE TRICOT               1545671                   2     138.94
    426  GUIMPE                         1507761                   1      49.41
    427  GUIMPE                         1507770                   4     197.64
    428  GUIMPE                         1507788                   4     197.64
    429  GUIMPE                         1507796                   4     217.20
    430  ROBE A MANCHE                  1544616                   1     127.20
    431  ROBE A MANCHE                  1544624                   3     381.60
    432  ROBE A MANCHE                  1544632                   4     508.80
    433  SALOPETTE LONGUE               1546821                   2     195.68
    434  SALOPETTE LONGUE               1546830                   4     391.36
    435  SALOPETTE LONGUE               1546848                   4     391.36
    436  BARBOTEUSE                     1547720                   1     107.63
    437  BARBOTEUSE                     1547739                   4     430.52
    438  BARBOTEUSE                     1547747                   4     430.52
    439  BOB GARCON                     1550560                   3      88.08
    440  BOB GARCON                     1550586                   6     176.16
    441  BANDEAU                        1553283                   3      73.38
    442  MI CHAUSSETTE                  1563831                   2      44.02
    443  MI CHAUSSETTE                  1563840                   2      44.02
    444  MI CHAUSSETTE                  1563858                   2      44.02
    445  ROBE                           1546295                   1     112.51
    446  ROBE                           1546309                   2     225.02
    447  ROBE                           1546317                   4     450.04
    448  ROBE                           1546325                   4     450.04
    449  SALOPETTE LONGUE               1546937                   2     195.68
    450  SALOPETTE LONGUE               1546945                   4     391.36
    451  SALOPETTE LONGUE               1546953                   4     391.36
    452  SALOPETTE LONGUE               1546961                   4     391.36
    453  BARBOTEUSE                     1547836                   1      97.84
    454  BARBOTEUSE                     1547844                   4     391.36
    455  BARBOTEUSE                     1547852                   4     391.36
    456  BARBOTEUSE                     1547860                   3     293.52
    457  COMBINAISON TEE SHIR           1548930                   1      73.39
    458  COMBINAISON TEE SHIR           1548948                   3     220.17
    459  COMBINAISON TEE SHIR           1548956                   3     220.17
    460  COMBINAISON TEE SHIR           1548964                   3     220.17
    461  TEE SHIRT                      1549782                   2      97.82
    462  TEE SHIRT                      1549790                   6     293.46
    463  TEE SHIRT                      1549804                   6     293.46
    464  TEE SHIRT                      1549812                   4     195.64
    465  BANDEAU                        1553070                   3      73.38
    466  DORS BIEN JERSEY               1558307                   1      88.06
    467  DORS BIEN JERSEY               1558315                   1      88.06
    468  DORS BIEN JERSEY               1558323                   2     176.12
    469  DORS BIEN JERSEY               1558331                   4     352.24
    470  DORS BIEN JERSEY               1558340                   4     352.24
    471  DORS BIEN JERSEY               1558358                   4     352.24
    472  MI CHAUSSETTE                  1564030                   3      66.03
    473  MI CHAUSSETTE                  1564048                   3      66.03
    474  MI CHAUSSETTE                  1564056                   3      66.03
    475  DORS BIEN JERSEY               1567500                   1      68.49
    476  DORS BIEN JERSEY               1567519                   1      68.49
    477  DORS BIEN JERSEY               1567527                   3     205.47
    478  DORS BIEN JERSEY               1567535                   5     342.45
    479  DORS BIEN JERSEY               1567543                   5     342.45
    480  DORS BIEN JERSEY               1567551                   4     273.96
    481  BRASSIERE TRICOT               1568930                   3     205.47
    482  BRASSIERE TRICOT               1568949                   2     136.98
    483  ROBE                           1546511                   1     112.51
    484  ROBE                           1546520                   3     337.53
    485  ROBE                           1546538                   4     450.04
    486  ROBE                           1546546                   4     450.04
    487  SALOPETTE COURTE               1547267                   2     176.12
    488  SALOPETTE COURTE               1547275                   4     352.24
    489  SALOPETTE COURTE               1547283                   4     352.24
    490  SALOPETTE COURTE               1547291                   4     352.24
    491  BARBOTEUSE                     1548166                   1      97.84
    492  BARBOTEUSE                     1548174                   5     489.20
    493  BARBOTEUSE                     1548182                   5     489.20
    494  CULOTTE BOUFFANTE              1549464                   1      34.26
    495  CULOTTE BOUFFANTE              1549472                   2      68.52
    496  CULOTTE BOUFFANTE              1549480                   3     102.78
    497  CULOTTE BOUFFANTE              1549499                   3     102.78
    498  BOB GARCON                     1550969                   3      88.08
    499  BOB GARCON                     1550985                   6     176.16
    500  MI CHAUSSETTE                  1563947                   3      66.03
    501  MI CHAUSSETTE                  1563955                   3      66.03
    502  MI CHAUSSETTE                  1563963                   3      66.03
    503  ROBE A MANCHES                 1527401                   2     264.18
    504  ROBE A MANCHES                 1527410                   2     264.18
    505  ROBE A MANCHES                 1527428                   2     264.18
    506  CHEMISIER                      1528858                   2     127.20
    507  CHEMISIER                      1528866                   2     127.20
    508  CHEMISIER                      1528874                   2     127.20
    509  ROBE A MANCHES                 1529218                   2     293.54
    510  ROBE A MANCHES                 1529226                   2     293.54
    511  ROBE A MANCHES                 1529234                   2     293.54
    512  CARDIGAN TRICOT                1529803                   2     225.02
    513  CARDIGAN TRICOT                1529811                   2     225.02
    514  CARDIGAN TRICOT                1529820                   2     225.02
    515  GILET TRICOT                   1529919                   2     215.26
    516  GILET TRICOT                   1529927                   4     430.52
    517  GILET TRICOT                   1529935                   4     430.52
    518  ROBE SANS MANCHE               1531298                   3     278.88
    519  ROBE SANS MANCHE               1531301                   3     278.88
    520  ROBE SANS MANCHE               1531310                   3     278.88
    521  BARBOTEUSE                     1531620                   3     366.93
    522  BARBOTEUSE                     1531638                   3     366.93
    523  POLO                           1537270                   2      97.82
    524  POLO                           1537288                   2      97.82
    525  POLO                           1537296                   2      97.82
    526  POLO                           1539884                   4     176.12
    527  POLO                           1539892                   4     176.12
    528  POLO                           1539906                   4     176.12
    529  BANDEAU                        1553569                   3      73.38
    530  BANDEAU                        1554530                   3      80.73
    531  BANDEAU                        1554883                   3      80.73
    532  SALOPETTE                      1558846                   3     264.18
    533  SALOPETTE                      1558854                   3     264.18
    534  SALOPETTE                      1558862                   3     264.18
    535  MI CHAUSSETTE                  1564170                   3      66.03
